source_id,abs_mag,bp_rp,spectral_type,distance_pc,estimated_mass,is_sun_like
4123872295984023040,16.634275447991413,1.7232361,M,57.77613826508716,0.06479961942202739,False
4123890197321216640,17.09769358870133,,M,37.55011593885904,0.05824124379100319,False
4123961974890249600,16.344076648291477,1.5703411,K,59.92652163913115,0.06927752044315363,False
4124111817680621952,17.414118759154626,1.4829254,K,36.76079103612056,0.05414871116203215,False
4124235821960867584,15.673466731836301,1.5193691,K,59.85616025847107,0.08084503005301007,False
4124286296440893568,17.498557989248475,,M,47.74857357561645,0.053106074584560264,False
4124336526055367936,16.54162468342737,,M,59.76124868778555,0.06619688167048755,False
4124348178297746176,16.499442217547525,,M,56.91164731371951,0.06684297612681123,False
4124412461055851648,16.378787911810896,,M,59.20091479226252,0.06872602231935289,False
4124421055335859968,16.664601528666317,,M,55.12991136791382,0.06434871031362731,False
4124431019661053952,16.905240614462283,1.4702225,K,58.06931153546697,0.060880181505896136,False
4124669544961800832,17.02323548513242,1.330555,K,38.65443262085248,0.05924837609112948,False
4124681330325740160,17.57474407667935,,M,43.10550969014517,0.05218258537594454,False
4124696070650673152,16.425079851435026,1.6033173,M,58.204642985771166,0.06799735425736153,False
4124740016733300736,16.326172541625287,2.2659779,M,54.68367476929996,0.06956371158889407,False
4124776163198889984,17.696457675236747,0.48146248,F,32.48170852986257,0.05074044041512335,False
4124989227963812352,16.782640312260895,,M,60.70042579756569,0.06262330278154084,False
4125041214201348864,16.182033377558835,1.4787445,K,49.777871756182726,0.07191122090481619,False
4125089489659038208,17.308652597283277,1.563776,K,46.78819384585382,0.05547978128029358,False
4125173155633686144,16.43303898525179,,M,60.35624363496724,0.06787285246199218,False
4125229780495141504,15.896449726126058,1.5696106,K,51.76917627649271,0.07679890490969307,False
4125890827455355264,17.633137780111138,,M,44.95808913007046,0.051485652603602036,False
4126017236925842944,16.991750651979494,1.5810242,K,50.43920927430496,0.05967946686583148,False
4126436288298358144,16.18652998395574,1.4308586,K,59.16670761077983,0.07183680386097903,False
4126670518631322880,14.712527935299155,1.0473232,G,36.76607027182112,0.10086655924980945,False
4127654031796149376,11.135901543689847,2.7068138,M,60.00257538779192,0.22983165565589372,False
4128140771840149632,16.520060792113874,,M,60.22375651744943,0.06652638438387953,False
4128596416337372928,17.897645526889853,1.549799,K,34.50883473260677,0.04844349267309374,False
4129587522986696448,16.99859322808995,1.1791477,K,55.51564045158757,0.05958551223803674,False
4130738711659837440,12.128853210426884,,M,54.69854296080821,0.18285830044741586,False
4131578738540070272,12.11499596855034,3.150116,M,50.266460583387385,0.18344268699706215,False
4134426576756134528,16.325630545982698,0.8934727,G,43.76414928566527,0.06957239361984247,False
4134844253741897088,16.921919803480726,1.2805481,K,45.19835608328755,0.06064681804062977,False
4136126387364048768,16.69154681156862,1.44104,K,39.73223886109963,0.06395070239205945,False
4136245203337415040,16.754422052708144,1.873745,M,55.04496367455094,0.06303152210461377,False
4137236653604656128,16.219773913425506,1.6538963,M,58.24706106300619,0.07128901410504479,False
4137341347718270848,16.885831925235074,2.0382557,M,58.67774493292135,0.0611528648612108,False
4137930033110554368,17.244075559176366,1.3953743,K,53.68407669814662,0.05631089682191105,False
4138044073076009088,16.012243875468307,1.2992249,K,38.986479946366046,0.07477830425571229,False
4138373789126635264,16.252255185618687,1.5854187,K,57.35870833711292,0.0707578260787723,False
4139063595226926720,16.520160885417848,0.29650307,A,59.260242306756886,0.0665248511456833,False
4139560437048992000,11.907128274424078,3.039649,M,37.0160390896301,0.1924363773159548,False
4140696473069943424,18.164647279591183,3.7241306,M,19.6873899768406,0.04555491829446281,False
4141234099896295040,12.17635053206933,3.1794796,M,51.54874465850647,0.1808693370699053,False
4142472287430246272,6.178472327410995,1.1370211,G,45.19068605146151,0.7197020956134716,False
4142797124397766144,9.696021605466978,2.381072,M,55.54230243471525,0.3201826829578586,False
4143745418822825728,16.652965200400885,1.6224117,M,51.52879183314216,0.06452135509153838,False
4144092795793997568,16.71427504976122,3.1112804,M,57.087600615318784,0.06361689890946116,False
4144303798974246784,16.391466616737993,,M,59.48965860752193,0.06852567754870113,False
4144311083238791424,16.286624295234216,3.1420784,M,48.20966802951983,0.07020007408788691,False
4144312972976657792,16.991853224126398,3.268896,M,39.73530538923417,0.05967805736628462,False
4144456734134900736,16.56742968128053,,M,51.07663336955628,0.0658047179296869,False
4144536311389776000,16.237645187635167,1.9154968,M,57.61306264913923,0.07099626164137957,False
4144588812952763136,15.191587824384602,1.940464,M,60.33932327634594,0.09033191507580739,False
4144839982704789120,16.802097421213464,1.7375259,M,45.68503013897767,0.06234336760444115,False
4144868157638043008,16.88194159735967,,M,49.284060329365786,0.061207668984181805,False
4144934403245009408,16.671705625755223,,M,50.22788310476825,0.0642435361014534,False
4145011025426506752,16.46703903749151,,M,58.5467770466379,0.06734356393407472,False
4145080913218037504,16.304589065575126,2.3116589,M,54.60024442511476,0.06991028835499608,False
4145092561130060160,16.807800100270057,1.7842274,M,52.13195118757517,0.06226155885116922,False
4145170007929428992,17.162538038541562,2.48147,M,34.13538396518852,0.057378104371247324,False
4145205501565331712,17.28625757246836,4.452347,M,20.560131380777328,0.05576660971931108,False
4145240754667405056,17.467284241957742,1.940609,M,31.839244324863145,0.053489874114053086,False
4145317892270480000,16.5489909942255,2.170332,M,57.106191998783984,0.0660846966180025,False
4145330227422758912,17.30563450427364,2.236189,M,34.3188004232281,0.05551834988802853,False
4145338576908568960,16.1991720097791,2.1784325,M,60.76056421926218,0.07162799572548609,False
4145800784025933568,16.31824869717001,1.5317268,K,55.66195560120739,0.06969074870575315,False
4145958289089082240,16.683735546675003,2.259079,M,51.47596425896318,0.06406582828059121,False
4145965367211756160,16.30095045599204,2.544197,M,55.73537259981424,0.06996888519340679,False
4146001509308579200,15.787522921655299,3.4858494,M,51.42207715717501,0.07874948237622159,False
4146835802408342784,16.788949067404285,2.5905895,M,51.09419798593175,0.06253239942286808,False
4147012995586304256,16.77758931668493,2.358347,M,45.582751481149245,0.06269617822656481,False
4147671465617307136,16.932158491594354,2.445259,M,45.33386026930012,0.06050400883992604,False
4147815398542428416,16.135762026693516,,M,54.18289361847045,0.07268148588147098,False
4147921604582365184,5.647604328035966,1.0327644,G,42.26148315159196,0.8132790165574423,False
4147993588172928640,10.360256681320841,2.6463995,M,23.12876607808192,0.2747731748953397,False
4147997780066374656,17.01666253346048,,M,50.29702446898191,0.05933811509993988,False
4148136490367193600,16.3476269373534,3.677578,M,51.473110409915385,0.06922091030223833,False
4148328694385211520,10.42816507956242,2.6343088,M,57.2509086730911,0.27051010442397677,False
4148481702628527232,16.60200396609472,1.8702183,M,52.89521744315336,0.06528292479770086,False
4148969232925383040,16.920605455056673,1.4956875,K,45.02678193000893,0.06066517496574092,False
4149239025590103168,17.084673437543625,1.6645775,M,54.11273844120449,0.05841611307275353,False
4149307401493191808,16.72670692029932,,M,58.282398489319085,0.06343505313353294,False
4149368630519484288,16.799224116883245,,M,44.03100280551753,0.0623846277966778,False
4149785001863309952,18.047227117991287,1.8581467,M,29.046337307497843,0.04680338760273798,False
4149839182846388352,16.342132561130313,2.5309353,M,60.09504819047656,0.0693085389554213,False
4149935566204140800,16.256283401508476,2.3387108,M,59.61079580395831,0.07069222643014436,False
4150368601989483008,16.960271324121734,1.9276218,M,43.61482509261922,0.06011361805149027,False
4150987077307111168,11.39327735547806,2.887127,M,51.07332458624065,0.21660688878671366,False
4150987661406268416,17.010236390365698,1.8090439,M,40.13860936526039,0.05942598116428919,False
4151134824161679616,18.070249811217863,1.9245033,M,30.13056238007256,0.04655593132416406,False
4151705161455638144,16.394959690596334,2.1531353,M,49.38761590146335,0.06847058382158445,False
4151812741817856128,16.6138239062256,2.1751022,M,60.4448381114946,0.06510548962811476,False
4152304326586167168,16.866525967884222,2.3710709,M,59.03892028440298,0.06142531654364086,False
